title,price,area,rooms,floor,rent,finish_state,market,ownership,advertiser_type,year_built,elevator,building_type,building_material,address,features,url,scraped_at
Dwupoziomowe - otoczone zielenią - blisko metra,1490000.0,63.4,3,2,969.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2004.0,False,dom wolnostojący,silikat,"ul. Wołodyjowskiego, ul. Wołodyjowskiego","['internet', 'kablowa', 'garaż/miejsce', 'pralka', 'balkon', 'parkingowe', 'telewizja', 'meble', 'telewizor', 'piekarnik', 'kuchenka', 'lodówka', 'pom.', 'użytkowe', 'piwnica', 'zmywarka', 'telefon', 'dwupoziomowe', 'taras']",https://www.otodom.pl/pl/oferta/dwupoziomowe-otoczone-zielenia-blisko-metra-ID4xlKO,2025-07-26T21:18:35.930753
Blisko Ronda Wiatraczna z windą i garażem,810000.0,45.7,2,1,565.0,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2013.0,True,blok,beton komórkowy,"ul. Majdańska, ul. Majdańska","['parkingowe', 'telewizja', 'internet', 'kablowa', 'piekarnik', 'garaż/miejsce', 'meble', 'balkon', 'telefon', 'kuchenka', 'taras']",https://www.otodom.pl/pl/oferta/blisko-ronda-wiatraczna-z-winda-i-garazem-ID4xpEo,2025-07-26T21:18:37.334789
"Możliwość 2 pokoi, niski czynsz dobra lokalizacja",539000.0,29.97,2,parter,590.0,brak informacji,wtórny,brak informacji,biuro nieruchomości,2005.0,True,,,"Warszawa, monitoring / ochrona. Otodom 67009666","['parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/mozliwosc-2-pokoi-niski-czynsz-dobra-lokalizacja-ID4xah4,2025-07-26T21:18:38.721873
"Idealne 2 pokoje, balkon, garaż, komórka",893010.0,35.02,2,6,600.0,brak informacji,wtórny,pełna własność,biuro nieruchomości,2009.0,False,,,"Warszawa, 02 m² powierzchni całkowitej. Otodom 67008064","['informacji', 'brak']",https://www.otodom.pl/pl/oferta/idealne-2-pokoje-balkon-garaz-komorka-ID4x9Re,2025-07-26T21:18:40.191309
"Idealne 4 pokoje, kuchnia, balkon, piwnica",793750.0,63.5,4,2,0.0,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1975.0,False,,,"Warszawa, oddzielna kuchnia. Otodom 67014868","['oddzielna', 'kuchnia', 'piwnica']",https://www.otodom.pl/pl/oferta/idealne-4-pokoje-kuchnia-balkon-piwnica-ID4xbCY,2025-07-26T21:18:41.541620
,,94.0,5,1,,,,,,,,,,,[],https://www.otodom.pl/pl/oferta/viva-cite-ID4uhUK,2025-07-26T21:18:43.388197
Nowoczesne 2-pokojowe mieszkanie z widokiem na ogród,664900.0,24.0,2,3Czynsz:brak informacjiStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:2025-06-16Typ ogłoszeniodawcy:prywatnyInformacje dodatkowe:brak informacjiBudynek i materiałyWinda:nieRodzaj zabudowy:blokOkna:plastikoweWyposażenieWyposażenie:meble zmywarka lodówka kuchenka piekarnikZabezpieczenia:drzwi,,do zamieszkania,wtórny,pełna własność,prywatny,,False,blok,,"ul. Ciasna, ul. Ciasna","['telewizja', 'internet', 'kablowa', 'piekarnik', 'brak', 'meble', 'informacji', 'zmywarka', 'telefon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/nowoczesne-2-pokojowe-mieszkanie-z-widokiem-na-ogrod-ID4vSYd,2025-07-26T21:18:45.901397
1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,,27.7,1,2,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,"ul. Henryka I Brodatego, ul. Henryka I Brodatego","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4x4N5,2025-07-26T21:18:47.658598
✨ Przestronne 3 pokoje | Ogród | Taras | Garderoba | Garaż,1349000.0,66.54,3,parter,1180.0,do zamieszkania,wtórny,pełna własność,prywatny,2010.0,True,apartamentowiec,żelbet,"ul. Człuchowska, ul. Człuchowska","['parkingowe', 'lodówka', 'kuchenka', 'internet', 'piekarnik', 'garaż/miejsce', 'zmywarka', 'ogródek', 'taras']",https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-ogrod-taras-garderoba-garaz-ID4xi7d,2025-07-26T21:18:48.975465
,15029.0,69.0,4,,,,,,,,,,,,[],https://www.otodom.pl/pl/oferta/park-skandynawia-v-ID4um07,2025-07-26T21:18:51.309521
